,file,room,dataset,vol,computed_rt60,mean_rt60
0,/scratch/ci411/sonos_rirs/rirs/ace/Single/Building_Lobby/2/Single_EE_lobby_2_RIR.wav,ace_Building_Lobby,ace,72.9,4.951874999999999,4.960125
1,/scratch/ci411/sonos_rirs/rirs/ace/Single/Building_Lobby/1/Single_EE_lobby_1_RIR.wav,ace_Building_Lobby,ace,72.9,4.968375,4.960125
2,/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_1/2/Single_502_2_RIR.wav,ace_Office_1,ace,47.3,0.4850625,1.7770937500000001
3,/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_1/1/Single_502_1_RIR.wav,ace_Office_1,ace,47.3,3.069125,1.7770937500000001
4,/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_2/2/Single_611_2_RIR.wav,ace_Meeting_Room_2,ace,246.0,0.531375,0.49965625
5,/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_2/1/Single_611_1_RIR.wav,ace_Meeting_Room_2,ace,246.0,0.4679375,0.49965625
6,/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_1/2/Single_503_2_RIR.wav,ace_Meeting_Room_1,ace,99.6,0.521875,0.52271875
7,/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_1/1/Single_503_1_RIR.wav,ace_Meeting_Room_1,ace,99.6,0.5235625,0.52271875
8,/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_2/2/Single_803_2_RIR.wav,ace_Office_2,ace,48.3,0.3970625,0.40825
9,/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_2/1/Single_803_1_RIR.wav,ace_Office_2,ace,48.3,0.4194375,0.40825
10,/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_1/2/Single_508_2_RIR.wav,ace_Lecture_Room_1,ace,202.0,0.609625,0.6030312499999999
11,/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_1/1/Single_508_1_RIR.wav,ace_Lecture_Room_1,ace,202.0,0.5964375,0.6030312499999999
12,/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_2/2/Single_403a_2_RIR.wav,ace_Lecture_Room_2,ace,370.0,1.002375,0.99921875
13,/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_2/1/Single_403a_1_RIR.wav,ace_Lecture_Room_2,ace,370.0,0.9960625,0.99921875
14,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_0_1.wav,air_booth,air,11.880000000000004,0.674125,0.6672031249999999
15,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_0_2.wav,air_booth,air,11.880000000000004,0.6638125,0.6672031249999999
16,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_0_3.wav,air_booth,air,11.880000000000004,0.6580625,0.6672031249999999
17,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_1_1.wav,air_booth,air,11.880000000000004,0.6741875,0.6672031249999999
18,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_1_2.wav,air_booth,air,11.880000000000004,0.6701250000000001,0.6672031249999999
19,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_1_3.wav,air_booth,air,11.880000000000004,0.6646875,0.6672031249999999
20,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_0_1.wav,air_booth,air,11.880000000000004,0.6695625,0.6672031249999999
21,/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_0_2.wav,air_booth,air,11.880000000000004,0.6633125,0.6672031249999999
