file,room,dataset,vol
/scratch/ci411/sonos_rirs/rirs/ace/Single/Building_Lobby/2/Single_EE_lobby_2_RIR.wav,ace_Building_Lobby,ace,72.9
/scratch/ci411/sonos_rirs/rirs/ace/Single/Building_Lobby/1/Single_EE_lobby_1_RIR.wav,ace_Building_Lobby,ace,72.9
/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_1/2/Single_502_2_RIR.wav,ace_Office_1,ace,47.3
/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_1/1/Single_502_1_RIR.wav,ace_Office_1,ace,47.3
/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_2/2/Single_611_2_RIR.wav,ace_Meeting_Room_2,ace,246.0
/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_2/1/Single_611_1_RIR.wav,ace_Meeting_Room_2,ace,246.0
/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_1/2/Single_503_2_RIR.wav,ace_Meeting_Room_1,ace,99.6
/scratch/ci411/sonos_rirs/rirs/ace/Single/Meeting_Room_1/1/Single_503_1_RIR.wav,ace_Meeting_Room_1,ace,99.6
/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_2/2/Single_803_2_RIR.wav,ace_Office_2,ace,48.3
/scratch/ci411/sonos_rirs/rirs/ace/Single/Office_2/1/Single_803_1_RIR.wav,ace_Office_2,ace,48.3
/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_1/2/Single_508_2_RIR.wav,ace_Lecture_Room_1,ace,202.0
/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_1/1/Single_508_1_RIR.wav,ace_Lecture_Room_1,ace,202.0
/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_2/2/Single_403a_2_RIR.wav,ace_Lecture_Room_2,ace,370.0
/scratch/ci411/sonos_rirs/rirs/ace/Single/Lecture_Room_2/1/Single_403a_1_RIR.wav,ace_Lecture_Room_2,ace,370.0
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_0_1.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_0_2.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_0_3.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_1_1.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_1_2.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_0_1_3.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_0_1.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_0_2.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_0_3.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_1_1.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_1_2.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_booth_1_1_3.wav,air_booth,air,11.880000000000004
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_0_1.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_0_2.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_0_3.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_0_4.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_0_5.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_0_6.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_1_1.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_1_2.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_1_3.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_1_4.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_1_5.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_0_1_6.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_1_0_1.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_1_0_2.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_1_0_3.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_1_0_4.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_1_0_5.wav,air_lecture,air,370.818
/scratch/ci411/sonos_rirs/rirs/air/wav/air_lecture_1_0_6.wav,air_lecture,air,370.818
